2021년도 월별 교통사고,,,
,,,
월,사고건수(건),사망자수(명),부상자수(명)
01월,14909,197,21323
02월,14511,203,21160
03월,16600,209,23928
04월,17403,212,25142
05월,17378,255,25125
06월,17575,227,25290
07월,17994,254,25870
08월,16418,247,23782
09월,17012,246,24252
10월,18300,312,26307
11월,18096,285,25706
12월,16934,269,23723
