,다발구역버전,다발구역아이디,다발구역명,시군구코드,시군구명,사고건수,중심X,중심Y,구역반경,?
0,2021090301,1171000504,더청춘팩토리,11710,서울특별시 송파구,4,127.083076,37.506157,40,
1,2021090301,1171000505,의료법인정애의료재단서울초이스병원,11710,서울특별시 송파구,5,127.121734,37.53376,40,
2,2021090301,1171000506,풍납극동아파트,11710,서울특별시 송파구,7,127.116861,37.526038,40,
3,2021090301,1171000507,GS25S8강동구청역점,11710,서울특별시 송파구,4,127.120606,37.530674,40,
4,2021090301,1171000508,남한강올갱이,11710,서울특별시 송파구,9,127.110715,37.510812,40,
5,2021090301,1171000509,GS25시,11710,서울특별시 송파구,17,127.078809,37.510495,40,
6,2021090301,1171000510,매씨스트수학,11710,서울특별시 송파구,6,127.089289,37.5079,40,
7,2021090301,1171000511,송림빌딩입구,11710,서울특별시 송파구,3,127.115953,37.506584,40,
8,2021090301,1171000512,남경빌딩 농협석촌역지점,11710,서울특별시 송파구,14,127.108026,37.505801,40,
9,2021090301,1171000513,헤어팰리스,11710,서울특별시 송파구,9,127.088345,37.504823,40,
10,2021090301,1171000514,잠실엘스월드클래스 136동,11710,서울특별시 송파구,3,127.084434,37.516266,40,
11,2021090301,1171000515,잠실3사거리(경유),11710,서울특별시 송파구,11,127.092549,37.511904,40,
12,2021090301,1171000516,잠실역.롯데월드몰(중),11710,서울특별시 송파구,10,127.100795,37.512374,40,
13,2021090301,1171000517,잠실동,11710,서울특별시 송파구,8,127.085614,37.511655,40,
14,2021090301,1171000518,올림픽쉼터,11710,서울특별시 송파구,8,127.07151,37.510658,40,
15,2021090301,1171000519,송파구청교차로(경유),11710,서울특별시 송파구,11,127.106821,37.515477,40,
16,2021090301,1171000520,방이동,11710,서울특별시 송파구,5,127.128056,37.51185,40,
17,2021090301,1171000521,SK오금가스충전소,11710,서울특별시 송파구,5,127.131909,37.506013,40,
18,2021090301,1171000522,서울조경입구,11710,서울특별시 송파구,3,127.139677,37.507037,40,
19,2021090301,1171000523,전주교회,11710,서울특별시 송파구,3,127.135822,37.504204,40,
20,2021090301,1171000524,공익빌딩입구,11710,서울특별시 송파구,4,127.09699,37.502464,40,
21,2021090301,1171000525,휴모텔,11710,서울특별시 송파구,3,127.090831,37.499153,40,
22,2021090301,1171000526,광양장로교회,11710,서울특별시 송파구,7,127.104447,37.500146,40,
23,2021090301,1171000527,탑빌딩 서울탑치과의원,11710,서울특별시 송파구,11,127.111879,37.502487,40,
24,2021090301,1171000528,송파경찰서,11710,서울특별시 송파구,15,127.127276,37.502645,40,
25,2021090301,1171000529,서울개롱초교,11710,서울특별시 송파구,3,127.140515,37.497575,40,
26,2021090301,1171000530,가락동동부센트레빌아파트,11710,서울특별시 송파구,10,127.115862,37.49565,40,
27,2021090301,1171000531,아이티벤처타워관리단전기차충전소,11710,서울특별시 송파구,4,127.122971,37.494844,40,
28,2021090301,1171000532,장지공원,11710,서울특별시 송파구,3,127.139044,37.495362,40,
29,2021090301,1171000533,가락시장역,11710,서울특별시 송파구,10,127.118774,37.492577,40,
30,2021090301,1171000534,성암빌딩입구,11710,서울특별시 송파구,11,127.147483,37.492927,40,
31,2021090301,1171000535,이미정산부인과의원,11710,서울특별시 송파구,3,127.126518,37.491195,40,
32,2021090301,1171000536,본향교회,11710,서울특별시 송파구,3,127.128109,37.482944,40,
33,2021090301,1171000537,중산부동산중개,11710,서울특별시 송파구,8,127.124231,37.482598,40,
34,2021090301,1171000538,신흥공업사,11710,서울특별시 송파구,14,127.122015,37.486954,40,
35,2021090301,1171000539,장지교,11710,서울특별시 송파구,7,127.127204,37.476208,40,
36,2021090301,1171000540,복정역,11710,서울특별시 송파구,3,127.126656,37.470338,40,
37,2021090301,1147000299,한성아트빌,11470,서울특별시 양천구,3,126.865095,37.54618,40,
