freqocZoneVer,freqocZoneId,freqocZoneNm,signguCode,signguNm,acdntCo,centerX,centerY,zoneRds
2021090301,1130500195,번동주공3단지아파트 301동,11305,서울특별시 강북구,3,127.041368,37.630397,40
2021090301,1130500196,타짜노래연습장,11305,서울특별시 강북구,21,127.027393,37.639635,40
2021090301,1130500197,홀릭피씨방,11305,서울특별시 강북구,10,127.019291,37.619854,40
2021090301,1130500198,수유시장.성신여대미아캠퍼스앞,11305,서울특별시 강북구,3,127.024331,37.630916,40
2021090301,1130500199,보은농협쌀직판장,11305,서울특별시 강북구,19,127.020716,37.634497,40
2021090301,1130500200,민스빌입구,11305,서울특별시 강북구,28,127.022353,37.642589,40
2021090301,1130500201,아이러브핏,11305,서울특별시 강북구,4,127.023620,37.644757,40
2021090301,1130500202,삼천리자전거미아점,11305,서울특별시 강북구,11,127.030200,37.616806,40
2021090301,1130500203,신유환경,11305,서울특별시 강북구,4,127.026501,37.617675,40
2021090301,1130500204,좋은기름주유소,11305,서울특별시 강북구,14,127.031115,37.635305,40
2021090301,1150000309,아이블룸앤스타일,11500,서울특별시 강서구,4,126.857941,37.531692,40
2021090301,1150000310,웰메이드까치산점,11500,서울특별시 강서구,9,126.845945,37.532825,40
2021090301,1150000311,개화산역무인카드전용주차장,11500,서울특별시 강서구,3,126.803630,37.572531,40
2021090301,1150000312,조국영치과의원,11500,서울특별시 강서구,4,126.863578,37.535527,40
2021090301,1150000313,MMARKET,11500,서울특별시 강서구,3,126.836432,37.552584,40
2021090301,1150000314,하나로마트서울축협,11500,서울특별시 강서구,4,126.862477,37.557207,40
2021090301,1150000315,마곡역,11500,서울특별시 강서구,12,126.826858,37.559713,40
2021090301,1150000316,사랑애재가복지센터,11500,서울특별시 강서구,5,126.848980,37.550860,40
2021090301,1150000317,발산역5번출구,11500,서울특별시 강서구,8,126.839380,37.558531,40
2021090301,1150000318,마곡지웰타워입구,11500,서울특별시 강서구,3,126.829761,37.559252,40
2021090301,1150000319,마곡M밸리10단지아파트 경비실,11500,서울특별시 강서구,4,126.820638,37.560218,40
2021090301,1150000320,청호프라자입구,11500,서울특별시 강서구,4,126.844390,37.557856,40
2021090301,1150000321,e편한세상입구,11500,서울특별시 강서구,3,126.870309,37.548055,40
2021090301,1150000322,세븐일레븐,11500,서울특별시 강서구,4,126.846659,37.548260,40
2021090301,1150000323,외발산동기점,11500,서울특별시 강서구,3,126.821575,37.545532,40
2021090301,1150000324,싱싱농산,11500,서울특별시 강서구,3,126.865367,37.555573,40
2021090301,1150000325,삼성한의원,11500,서울특별시 강서구,5,126.843269,37.543672,40
2021090301,1150000326,KB국민은행가양역지점,11500,서울특별시 강서구,4,126.851569,37.562961,40
2021090301,1150000327,천우아파트,11500,서울특별시 강서구,4,126.840949,37.539810,40
2021090301,1150000328,노스탈자호텔별관,11500,서울특별시 강서구,22,126.852145,37.555321,40
2021090301,1150000329,CU,11500,서울특별시 강서구,6,126.864532,37.551224,40
2021090301,1150000330,제트쓰리바,11500,서울특별시 강서구,3,126.847884,37.528473,40
2021090301,1150000331,쉬리모텔,11500,서울특별시 강서구,3,126.839766,37.530141,40
2021090301,1150000332,진성빌딩 방화교회,11500,서울특별시 강서구,5,126.811747,37.567882,40
2021090301,1162000414,CU,11620,서울특별시 관악구,3,126.924043,37.485424,40
2021090301,1162000415,미켈란입구,11620,서울특별시 관악구,10,126.934211,37.485500,40
2021090301,1162000416,뜰,11620,서울특별시 관악구,9,126.956232,37.485784,40
2021090301,1162000417,연세에듀플러스,11620,서울특별시 관악구,3,126.931816,37.479107,40
2021090301,1162000418,덕흥입구,11620,서울특별시 관악구,7,126.926216,37.483794,40
2021090301,1162000419,현대시장,11620,서울특별시 관악구,3,126.946948,37.487030,40
2021090301,1162000420,오민선국어교습소,11620,서울특별시 관악구,3,126.919786,37.471270,40
2021090301,1162000421,영락고교.영락유헬스고,11620,서울특별시 관악구,7,126.945896,37.479354,40
2021090301,1162000422,사랑의병원입구,11620,서울특별시 관악구,12,126.956142,37.479420,40
2021090301,1162000423,관악전치과의원,11620,서울특별시 관악구,24,126.962331,37.477574,40
2021090301,1162000424,양평서울해장국,11620,서울특별시 관악구,17,126.913620,37.481768,40
2021090301,1162000425,관악우리한의원,11620,서울특별시 관악구,4,126.933271,37.472156,40
2021090301,1162000426,신기루황소곱창구이,11620,서울특별시 관악구,6,126.950593,37.478881,40
2021090301,1162000427,로또노래방,11620,서울특별시 관악구,45,126.946318,37.481943,40
2021090301,1162000428,베리타스서울입구,11620,서울특별시 관악구,8,126.936721,37.475147,40
2021090301,1162000429,태광조명,11620,서울특별시 관악구,18,126.927983,37.489364,40
2021090301,1162000430,포도몰입구,11620,서울특별시 관악구,20,126.929769,37.483604,40
2021090301,1162000431,BEAUTE,11620,서울특별시 관악구,8,126.915134,37.477647,40
2021090301,1162000432,거산상사,11620,서울특별시 관악구,3,126.937785,37.484003,40
2021090301,1162000433,재활용선별장입구,11620,서울특별시 관악구,3,126.919010,37.489699,40
2021090301,1121500085,굿모닝공인중개사,11215,서울특별시 광진구,9,127.087785,37.559209,40
2021090301,1121500086,늘봄공인중개사,11215,서울특별시 광진구,15,127.083656,37.536174,40
2021090301,1121500087,건국대학교앞,11215,서울특별시 광진구,3,127.074666,37.538684,40
2021090301,1121500088,다성리버텔입구,11215,서울특별시 광진구,4,127.092570,37.539243,40
2021090301,1121500089,나나헤어아트,11215,서울특별시 광진구,7,127.073596,37.553561,40
2021090301,1121500090,말씀의교회입구,11215,서울특별시 광진구,4,127.076469,37.564036,40
2021090301,1121500091,삼진빌딩입구,11215,서울특별시 광진구,11,127.069767,37.540261,40
2021090301,1121500092,왕자빌딩입구,11215,서울특별시 광진구,3,127.078356,37.554723,40
2021090301,1121500093,스시오,11215,서울특별시 광진구,3,127.072307,37.543416,40
2021090301,1121500094,제니스미디어,11215,서울특별시 광진구,7,127.085339,37.544986,40
2021090301,1121500095,주먹갈비,11215,서울특별시 광진구,8,127.074187,37.547272,40
2021090301,1121500096,에이블씨엔씨,11215,서울특별시 광진구,4,127.079497,37.557161,40
2021090301,1121500097,중마초등학교.중곡제일골목시장앞,11215,서울특별시 광진구,3,127.080744,37.565088,40
2021090301,1121500098,피씨밸리,11215,서울특별시 광진구,4,127.084446,37.561045,40
2021090301,1121500099,케이2입시,11215,서울특별시 광진구,5,127.091245,37.549631,40
2021090301,1121500100,대영아파트입구,11215,서울특별시 광진구,3,127.084134,37.541872,40
2021090301,1121500101,바른한의원,11215,서울특별시 광진구,9,127.083415,37.571371,40
2021090301,1121500102,해피데이웨딩컨벤션,11215,서울특별시 광진구,7,127.086195,37.531397,40
2021090301,1121500103,정경자수학보습학원,11215,서울특별시 광진구,4,127.095660,37.541263,40
2021090301,1153000333,성원하이츠나동,11530,서울특별시 구로구,8,126.836002,37.488685,40
2021090301,1153000334,성인약국,11530,서울특별시 구로구,3,126.856407,37.486247,40
2021090301,1153000335,만쥬커피,11530,서울특별시 구로구,10,126.894662,37.493128,40
2021090301,1153000336,광진빌딩입구,11530,서울특별시 구로구,4,126.888559,37.495287,40
2021090301,1153000337,고척교,11530,서울특별시 구로구,6,126.870506,37.499104,40
2021090301,1153000338,한국산업단지공단.이마트구로점,11530,서울특별시 구로구,3,126.897101,37.483893,40
2021090301,1153000339,구로고척케어빌한의원,11530,서울특별시 구로구,9,126.859074,37.506380,40
2021090301,1153000340,서울특별시구로소방서,11530,서울특별시 구로구,3,126.865017,37.497993,40
2021090301,1153000341,개봉본동3빗물펌프장,11530,서울특별시 구로구,7,126.847948,37.499063,40
2021090301,1153000342,SC메디칼센터빌딩,11530,서울특별시 구로구,3,126.840160,37.494423,40
2021090301,1153000343,멕시칸치킨,11530,서울특별시 구로구,5,126.856776,37.497300,40
2021090301,1153000344,현대오일뱅크신구로주유소,11530,서울특별시 구로구,8,126.892884,37.497653,40
2021090301,1153000345,하버라인8단지입구,11530,서울특별시 구로구,3,126.818290,37.476109,40
2021090301,1153000346,풍성한교회,11530,서울특별시 구로구,3,126.856148,37.490094,40
2021090301,1153000347,신세기아파트,11530,서울특별시 구로구,4,126.853332,37.493865,40
2021090301,1153000348,신도림2차동아아파트입구,11530,서울특별시 구로구,18,126.886836,37.508095,40
2021090301,1153000349,영화아파트,11530,서울특별시 구로구,4,126.860253,37.496778,40
2021090301,1153000350,천왕역광역환승센터,11530,서울특별시 구로구,4,126.839547,37.486965,40
2021090301,1153000351,성원빌딩입구,11530,서울특별시 구로구,6,126.846038,37.501414,40
2021090301,1153000352,햇빛치과의원,11530,서울특별시 구로구,7,126.843530,37.495857,40
2021090301,1153000353,구로디지털단지역(중),11530,서울특별시 구로구,25,126.902304,37.483919,40
2021090301,1153000354,(주)청우,11530,서울특별시 구로구,3,126.893505,37.482333,40
