,시도명,소계
0,합계,2236089.0
1,합계,2238144.0
2,합계,2245292.0
3,합계,2253441.0
4,합계,2259482.0
5,합계,2264950.0
6,합계,2270122.0
7,합계,2274211.0
8,합계,2284258.0
9,합계,2287659.0
10,합계,2287836.0
11,합계,2289009.0
