,다발구역버전,다발구역아이디,다발구역명,시군구코드,시군구명,사고건수,중심X,중심Y,구역반경,시군구명2
59,2021090301,1156000382,서원복사출력,11560,서울특별시 영등포구,6,126.895818,37.522401,40,영등포구
60,2021090301,1156000383,영등포초등학교입구,11560,서울특별시 영등포구,3,126.89748,37.512792,40,영등포구
61,2021090301,1156000384,창빌딩입구,11560,서울특별시 영등포구,3,126.896998,37.527644,40,영등포구
62,2021090301,1156000385,창대교회,11560,서울특별시 영등포구,6,126.910066,37.512279,40,영등포구
63,2021090301,1156000386,안상규벌꿀입구,11560,서울특별시 영등포구,12,126.909432,37.525219,40,영등포구
64,2021090301,1156000387,삼승빌딩입구,11560,서울특별시 영등포구,4,126.891391,37.511562,40,영등포구
65,2021090301,1156000388,정성빌딩입구,11560,서울특별시 영등포구,10,126.902501,37.491771,40,영등포구
66,2021090301,1156000389,엔조이멜론,11560,서울특별시 영등포구,5,126.882398,37.52353,40,영등포구
67,2021090301,1156000390,양화대교남단(미정차),11560,서울특별시 영등포구,4,126.899263,37.538769,40,영등포구
68,2021090301,1156000391,신풍역,11560,서울특별시 영등포구,3,126.908454,37.500084,40,영등포구
69,2021090301,1156000392,금산빌딩,11560,서울특별시 영등포구,3,126.915926,37.528406,40,영등포구
70,2021090301,1156000393,목포회집,11560,서울특별시 영등포구,6,126.898133,37.535717,40,영등포구
71,2021090301,1156000394,BBQ치킨대방점,11560,서울특별시 영등포구,10,126.916125,37.49996,40,영등포구
72,2021090301,1156000395,LG트윈타워빌딩동관 우리은행트윈타워지점,11560,서울특별시 영등포구,5,126.929377,37.52922,40,영등포구
73,2021090301,1156000396,대승프린스텔입구,11560,서울특별시 영등포구,3,126.916303,37.517781,40,영등포구
74,2021090301,1156000397,굿모닝재활의학과의원,11560,서울특별시 영등포구,6,126.901804,37.506919,40,영등포구
75,2021090301,1117000049,용산공업고교용공카센타,11170,서울특별시 용산구,6,126.967935,37.524677,40,용산구
76,2021090301,1117000050,정윤정보통신,11170,서울특별시 용산구,3,126.96092,37.538589,40,용산구
77,2021090301,1117000051,하이페리온2,11170,서울특별시 용산구,4,127.00676,37.528694,40,용산구
78,2021090301,1117000052,용산구청.크라운호텔,11170,서울특별시 용산구,3,126.991349,37.5298,40,용산구
79,2021090301,1117000053,아자쓰,11170,서울특별시 용산구,19,126.986974,37.539002,40,용산구
80,2021090301,1117000054,서울원효로우체국,11170,서울특별시 용산구,8,126.967167,37.538671,40,용산구
81,2021090301,1117000055,에프터스,11170,서울특별시 용산구,3,126.990131,37.534176,40,용산구
82,2021090301,1117000056,올포유,11170,서울특별시 용산구,4,126.972769,37.542086,40,용산구
83,2021090301,1117000057,유로피안,11170,서울특별시 용산구,7,126.995595,37.534614,40,용산구
84,2021090301,1117000058,인천-고성선,11170,서울특별시 용산구,4,126.961817,37.522387,40,용산구
85,2021090301,1117000059,삼각지경로당입구,11170,서울특별시 용산구,7,126.974981,37.534975,40,용산구
86,2021090301,1117000060,한강중학교앞,11170,서울특별시 용산구,7,126.992777,37.524417,40,용산구
87,2021090301,1117000061,노들섬,11170,서울특별시 용산구,3,126.958751,37.517541,40,용산구
88,2021090301,1117000062,용암초등학교입구.이태원주공아파트,11170,서울특별시 용산구,3,126.988477,37.544345,40,용산구
89,2021090301,1117000063,서빙고압축장입구,11170,서울특별시 용산구,4,126.99061,37.520225,40,용산구
90,2021090301,1138000236,서울은평초교,11380,서울특별시 은평구,11,126.935329,37.601356,40,은평구
91,2021090301,1138000237,유성빌딩 중화한의원,11380,서울특별시 은평구,3,126.925218,37.607932,40,은평구
92,2021090301,1138000238,서부제일교회입구,11380,서울특별시 은평구,3,126.922796,37.585639,40,은평구
93,2021090301,1138000239,선재빌딩 연세봄치과의원,11380,서울특별시 은평구,10,126.917286,37.590669,40,은평구
94,2021090301,1138000240,신사지구대수색치안센터,11380,서울특별시 은평구,3,126.895359,37.582059,40,은평구
95,2021090301,1138000241,서일빌딩입구,11380,서울특별시 은평구,3,126.92767,37.601463,40,은평구
96,2021090301,1138000242,신사동성당,11380,서울특별시 은평구,3,126.909715,37.597003,40,은평구
97,2021090301,1138000243,동명여고,11380,서울특별시 은평구,3,126.924522,37.615951,40,은평구
98,2021090301,1138000244,태양주차장,11380,서울특별시 은평구,4,126.90577,37.580291,40,은평구
99,2021090301,1138000245,6호선구산역사무소입구,11380,서울특별시 은평구,9,126.917261,37.611372,40,은평구
100,2021090301,1138000246,미소야치과의원,11380,서울특별시 은평구,6,126.920061,37.618416,40,은평구
101,2021090301,1138000247,리더스파크입구,11380,서울특별시 은평구,7,126.915702,37.599142,40,은평구
102,2021090301,1138000248,역촌동새마을금고입구,11380,서울특별시 은평구,6,126.915412,37.605775,40,은평구
103,2021090301,1138000249,신흥에너지산업입구,11380,서울특별시 은평구,7,126.900924,37.578698,40,은평구
104,2021090301,1138000250,다름머리,11380,서울특별시 은평구,5,126.922683,37.606126,40,은평구
105,2021090301,1138000251,새벽별장로교회,11380,서울특별시 은평구,7,126.915861,37.586056,40,은평구
106,2021090301,1138000252,세시봉,11380,서울특별시 은평구,5,126.919865,37.62331,40,은평구
107,2021090301,1138000253,녹원쉐르빌A동,11380,서울특별시 은평구,6,126.888326,37.586187,40,은평구
108,2021090301,1138000254,대교불광지국,11380,서울특별시 은평구,3,126.933021,37.606951,40,은평구
109,2021090301,1138000255,서울이웃치과의원,11380,서울특별시 은평구,6,126.914009,37.592644,40,은평구
110,2021090301,1138000256,SC제일은행응암동지점,11380,서울특별시 은평구,3,126.922308,37.600419,40,은평구
111,2021090301,1111000001,카페베네,11110,서울특별시 종로구,13,126.972632,37.575903,40,종로구
112,2021090301,1111000002,GS칼텍스중앙주유소,11110,서울특별시 종로구,3,127.023059,37.57811,40,종로구
113,2021090301,1111000003,서울종로경찰서세검정파출소,11110,서울특별시 종로구,4,126.958451,37.599779,40,종로구
114,2021090301,1111000004,청계천대성스카이렉스1입구,11110,서울특별시 종로구,8,127.023405,37.571802,40,종로구
115,2021090301,1111000005,동양빌딩입구,11110,서울특별시 종로구,3,126.969164,37.568326,40,종로구
116,2021090301,1111000006,충신동,11110,서울특별시 종로구,4,127.006619,37.57414,40,종로구
117,2021090301,1111000007,안국역5번출입구,11110,서울특별시 종로구,5,126.986318,37.576793,40,종로구
118,2021090301,1111000008,스타벅스,11110,서울특별시 종로구,4,126.978415,37.570016,40,종로구
119,2021090301,1111000009,광덕인테리어,11110,서울특별시 종로구,9,127.008066,37.571081,40,종로구
120,2021090301,1111000010,탑골공원화장실,11110,서울특별시 종로구,6,126.98788,37.570319,40,종로구
121,2021090301,1111000011,견지,11110,서울특별시 종로구,4,126.979316,37.575654,40,종로구
122,2021090301,1111000012,커피식스,11110,서울특별시 종로구,3,126.96142,37.604281,40,종로구
123,2021090301,1111000013,평창힐스벽산아파트,11110,서울특별시 종로구,3,126.972913,37.608416,40,종로구
124,2021090301,1111000014,이화사거리,11110,서울특별시 종로구,6,127.002211,37.576212,40,종로구
125,2021090301,1111000015,시카고치과병원,11110,서울특별시 종로구,12,127.023363,37.57492,40,종로구
126,2021090301,1111000016,생수은혜축복교회,11110,서울특별시 종로구,3,126.964153,37.572413,40,종로구
127,2021090301,1111000017,넘버원황태사랑,11110,서울특별시 종로구,3,127.021189,37.574803,40,종로구
128,2021090301,1111000018,동화스텐,11110,서울특별시 종로구,10,127.002001,37.570371,40,종로구
129,2021090301,1111000019,서대문역입구,11110,서울특별시 종로구,3,126.966486,37.565979,40,종로구
130,2021090301,1111000020,국립어린이과학관입구,11110,서울특별시 종로구,3,126.997067,37.581571,40,종로구
131,2021090301,1111000021,독립문고가차도(경유),11110,서울특별시 종로구,3,126.960451,37.57218,40,종로구
132,2021090301,1111000022,우리은행입구,11110,서울특별시 종로구,13,127.001312,37.585267,40,종로구
133,2021090301,1114000023,남영빌딩,11140,서울특별시 중구,8,126.99877,37.562371,40,중구
134,2021090301,1114000024,몬테피자,11140,서울특별시 중구,7,127.013084,37.560403,40,중구
135,2021090301,1114000025,복천빌딩입구,11140,서울특별시 중구,4,127.013879,37.565192,40,중구
136,2021090301,1114000026,은성사,11140,서울특별시 중구,7,126.998349,37.564352,40,중구
137,2021090301,1114000027,용스포츠,11140,서울특별시 중구,22,127.009779,37.565419,40,중구
138,2021090301,1114000028,삼원카센타,11140,서울특별시 중구,8,127.011931,37.553196,40,중구
139,2021090301,1114000029,톰캣프라자입구,11140,서울특별시 중구,6,127.010652,37.554822,40,중구
140,2021090301,1114000030,스노우엠,11140,서울특별시 중구,19,127.002587,37.56391,40,중구
141,2021090301,1114000031,동대문솔하임입구,11140,서울특별시 중구,75,127.016001,37.568013,40,중구
142,2021090301,1114000032,스튜디오씨나인,11140,서울특별시 중구,4,127.008309,37.55813,40,중구
143,2021090301,1114000033,유니멜로,11140,서울특별시 중구,6,127.005699,37.559092,40,중구
144,2021090301,1114000034,브라운치킨,11140,서울특별시 중구,3,126.963001,37.559302,40,중구
145,2021090301,1114000035,유니온베이,11140,서울특별시 중구,7,126.97286,37.559716,40,중구
146,2021090301,1114000036,리스안경,11140,서울특별시 중구,11,126.981672,37.560909,40,중구
147,2021090301,1114000037,을지로2구역지하쇼핑입구,11140,서울특별시 중구,4,126.987468,37.566054,40,중구
148,2021090301,1114000038,랫미커피,11140,서울특별시 중구,3,126.993231,37.561094,40,중구
149,2021090301,1114000039,대우재단빌딩입구,11140,서울특별시 중구,8,126.975087,37.556995,40,중구
150,2021090301,1114000040,재능빌딩 한국국제의료재단,11140,서울특별시 중구,3,126.978787,37.565403,40,중구
151,2021090301,1114000041,사르토라프,11140,서울특별시 중구,3,126.992881,37.564302,40,중구
152,2021090301,1114000042,바비엥3입구,11140,서울특별시 중구,3,126.969077,37.563025,40,중구
153,2021090301,1114000043,서울스타일치과의원,11140,서울특별시 중구,15,127.023579,37.565836,40,중구
154,2021090301,1114000044,한화빌딩,11140,서울특별시 중구,7,126.974996,37.563421,40,중구
