2018년도 월별 교통사고,,,
,,,
월,사고건수(건),사망자수(명),부상자수(명)
01월,17026,304,25438
02월,16208,275,24630
03월,17022,310,25015
04월,17992,303,26643
05월,18636,309,27834
06월,18082,266,26574
07월,18699,315,28104
08월,18335,357,27749
09월,18371,348,27751
10월,19738,373,28836
11월,19029,298,28000
12월,18010,323,26463
