"상품군별","판매매체별",2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12
"음식서비스","계",347457,324245,361763,365956,389395,413053,456927,496930,463750,502456,510496,630349,621909,614963,694509,686320,742382,774478,828915,917005,854892,913722,1026981,1059286,1063820,1135331,1252462,1263148,1320798,1253440,1378600,1676687,1603614,1546338,1642625,2197375,2030620,1824078,1965974,1975909,2140672,1971954,2377984,2418806,2187844,2263884,2071141,2449469
"음식서비스","인터넷쇼핑",37792,35445,35896,47587,33475,38204,41490,43611,40102,41489,42091,52591,53351,48759,54675,49084,49857,52192,55648,59450,55127,59150,61128,67608,66583,69072,72458,77650,88335,68451,73197,84667,74157,68416,70145,86873,68816,61558,60958,54881,58610,52497,60775,59157,60195,56367,46342,55371
"음식서비스","모바일쇼핑",309665,288800,325867,318369,355920,374849,415437,453319,423648,460967,468405,577758,568558,566204,639833,637236,692525,722286,773268,857555,799765,854572,965853,991679,997237,1066259,1180004,1185498,1232463,1184989,1305403,1592020,1529457,1477922,1572480,2110502,1961804,1762520,1905016,1921028,2082063,1919457,2317210,2359649,2127649,2207517,2024799,2394098
